,Min,Max,,,,,,,,,,,,,,,,
Students per class,7,8,,No. classes,3,,Teachers,"Mrs A, Mr B, Ms C",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Required,,Optional,,,,,,,,Custom categories,,,,,,,,
Class code,Name,Gender,Friend 1,Friend 2,Friend 3,Friend 4,Friend 5,Can't be with,Must be with,Possible teachers,Parents,Behaviour,G&T,Low Lit,Low Math,Anxiety,ILP,High Maths,High Lit
A,Alice B,F,Qihao C,Jaimee C,,,,,,ALL,YES,,,,,,,,
A,Jim C,M,Bob K,Qihao C,,,,,,ALL,,YES,,,,,,,
B,Muhammed R,M,Nathanael T,Bob K,,,,,,ALL,,,,,,,,,
B,Henrietta M,F,Abdulrahman W,Muhammed R,,,,,,"Ms C, Mr B",,,,,,,,,
B,Qihao C,M,Lacey C,Henrietta M,,,,,,ALL,,YES,,,,,,,
B,Bob K,O,Lindsay B,Alice B,,,,,,ALL,,,,,YES,,,,
B,Nathanael T,M,Luqman F,,,,,"Henrietta M, Luqman F",,ALL,,,,,,,,,
C,Abdulrahman W,M,Lacey C,,,,,,,ALL,,,,,,,,,
C,Lacey C,F,River S,Abdulrahman W,,,,,,ALL,,,YES,,,,YES,,
C,Lindsay B,F,Nathanael T,Lacey C,,,,,,Ms C,,,,,,,,,
C,Luqman F,M,Abdulrahman W,Lindsay B,Bob K,,,,,ALL,,YES,,,,,,,
A,Mahnoor D,M,Lindsay B,Luqman F,,,,,Lindsay B,ALL,,,,,,,,,YES
A,Evie F,F,Mahnoor D,Lacey C,,,,,,ALL,,,,,YES,,,,
A,Jaimee C,F,Evie F,River S,,,,,,ALL,,YES,,,,,,,
A,Sian A,M,Jim C,,,,,,"Lacey C, Bob K",ALL,,,,,,,,YES,YES
B,River S,F,Sian A,,,,,,,ALL,,,,,,,,,
B,Veronika Pugh,M,Lacey C,Alice B,Jaimee C,,,,,,,,,,,,,,
B,Jac Villegas,F,Lindsay B,Jim C,Sian A,,,,,,,,,,,,,,
B,Jed Stacey,M,Luqman F,Muhammed R,River S,,,,,,,,,,,,,,
A,Israr Harwood,F,Mahnoor D,Henrietta M,Veronika Pugh,,,,,,,,,,,,,,
C,Jedd Miles,M,Evie F,Qihao C,Jac Villegas,,,,,,,,,,,,,,
